Date,d15min,d30min,d45min,d1h,d2h,d3h,d4h,d6h,d8h,d12h,d24h
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-09,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2013-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2013-05-11,23.0,35.0,45.0,57.0,98.0,115.0,124.0,124.0,126.0,139.0,141.0
2013-05-12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,141.0
2013-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-15,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2013-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0
2013-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-19,6.0,11.0,15.0,18.0,18.0,18.0,25.0,32.0,32.0,32.0,32.0
2013-05-20,17.0,25.0,25.0,25.0,25.0,35.0,35.0,35.0,42.0,60.0,70.0
2013-05-21,10.0,17.0,21.0,21.0,31.0,31.0,31.0,31.0,31.0,31.0,40.0
2013-05-22,0.0,0.0,0.0,0.0,0.0,0.0,7.0,31.0,31.0,31.0,40.0
2013-05-23,25.0,38.0,47.0,55.0,59.0,59.0,59.0,59.0,59.0,59.0,108.0
2013-05-24,5.0,8.0,11.0,14.0,19.0,25.0,30.0,44.0,51.0,64.0,102.0
2013-05-25,5.0,10.0,15.0,19.0,28.0,33.0,36.0,44.0,64.0,80.0,84.0
2013-05-26,9.0,16.0,21.0,25.0,47.0,59.0,70.0,93.0,129.0,168.0,247.0
2013-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,166.0
2013-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,163.0,180.0,190.0
2013-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,69.0,100.0,115.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0
2013-06-02,27.0,32.0,33.0,35.0,64.0,96.0,117.0,123.0,123.0,179.0,240.0
